age,workclass,education,marital.status,income
39,Govt,Bachelors,Never Married,<=50K.
50,Self,Bachelors,Married,<=50K.
38,Private,HS-grad,Divorced,<=50K.
53,Private,11th,Married,<=50K.
28,Private,Bachelors,Married,<=50K.
37,Private,Masters,Married,<=50K.
49,Private,9th,Married,<=50K.
52,Self,HS-grad,Married,>50K.
31,Private,Masters,Never Married,>50K.
42,Private,Bachelors,Married,>50K.
37,Private,Some-college,Married,>50K.
30,Govt,Bachelors,Married,>50K.
23,Private,Bachelors,Never Married,<=50K.
32,Private,Assoc-acdm,Never Married,<=50K.
40,Private,Assoc-voc,Married,>50K.
34,Private,7th-8th,Married,<=50K.
25,Self,HS-grad,Never Married,<=50K.
32,Private,HS-grad,Never Married,<=50K.
38,Private,11th,Married,<=50K.
43,Self,Masters,Divorced,>50K.
40,Private,Doctorate,Married,>50K.
54,Private,HS-grad,Separated,<=50K.
35,Govt,9th,Married,<=50K.
43,Private,11th,Married,<=50K.
59,Private,HS-grad,Divorced,<=50K.
56,Govt,Bachelors,Married,>50K.
19,Private,HS-grad,Never Married,<=50K.
54,NA,Some-college,Married,>50K.
39,Private,HS-grad,Divorced,<=50K.
49,Private,HS-grad,Married,<=50K.
23,Govt,Assoc-acdm,Never Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
45,Private,Bachelors,Divorced,<=50K.
30,Govt,Some-college,Married,<=50K.
22,Govt,Some-college,Married,<=50K.
48,Private,11th,Never Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
19,Private,HS-grad,Married,<=50K.
31,Private,Some-college,Married,>50K.
48,Self,Assoc-acdm,Married,<=50K.
31,Private,9th,Married,<=50K.
53,Self,Bachelors,Married,<=50K.
24,Private,Bachelors,Married,<=50K.
49,Private,HS-grad,Separated,<=50K.
25,Private,HS-grad,Never Married,<=50K.
57,Govt,Bachelors,Married,>50K.
53,Private,HS-grad,Married,<=50K.
44,Private,Masters,Divorced,<=50K.
41,Govt,Assoc-voc,Married,<=50K.
29,Private,Assoc-voc,Never Married,<=50K.
25,Private,Some-college,Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
47,Private,Prof-school,Married,>50K.
50,Govt,Bachelors,Divorced,>50K.
47,Self,HS-grad,Divorced,<=50K.
43,Private,Some-college,Married,>50K.
46,Private,5th-6th,Married,<=50K.
35,Private,Assoc-voc,Married,<=50K.
41,Private,HS-grad,Married,<=50K.
30,Private,HS-grad,Married,<=50K.
30,Private,Bachelors,Married,<=50K.
32,NA,7th-8th,Married,<=50K.
48,Private,HS-grad,Married,<=50K.
42,Private,Doctorate,Married,>50K.
29,Private,Some-college,Divorced,<=50K.
36,Private,HS-grad,Married,<=50K.
28,Private,Some-college,Divorced,<=50K.
53,Private,HS-grad,Married,>50K.
49,Self,Some-college,Married,>50K.
25,NA,Some-college,Never Married,<=50K.
19,Private,Some-college,Never Married,<=50K.
31,Private,Bachelors,Separated,<=50K.
29,Self,Bachelors,Married,>50K.
23,Private,Some-college,Never Married,<=50K.
79,Private,Some-college,Married,<=50K.
27,Private,HS-grad,Never Married,<=50K.
40,Private,Assoc-acdm,Married,<=50K.
67,NA,10th,Married,<=50K.
18,Private,11th,Never Married,<=50K.
