"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","response","Training.Test.Validation"
"1",56,"housemaid","married","basic.4y","no","no","no","telephone","may","mon",261,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.545895
"2",57,"services","married","high.school","unknown","no","no","telephone","may","mon",149,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.129504
"3",41,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon",217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.036305
"4",25,"services","single","high.school","no","yes","no","telephone","may","mon",222,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.07605
"5",29,"blue-collar","single","high.school","no","no","yes","telephone","may","mon",137,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.052701
"6",57,"housemaid","divorced","basic.4y","no","yes","no","telephone","may","mon",293,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.209137
"7",35,"blue-collar","married","basic.6y","no","yes","no","telephone","may","mon",312,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.536052
"8",39,"management","single","basic.9y","unknown","no","no","telephone","may","mon",195,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.342422
"9",30,"unemployed","married","high.school","no","no","no","telephone","may","mon",38,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.36326
"10",55,"retired","single","high.school","no","yes","no","telephone","may","mon",342,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.124215
"11",41,"technician","single","high.school","no","yes","no","telephone","may","mon",181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.180505
"12",37,"admin.","married","high.school","no","yes","no","telephone","may","mon",172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.615834
"13",35,"technician","married","university.degree","no","no","yes","telephone","may","mon",99,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.187175
"14",46,"admin.","married","unknown","no","no","no","telephone","may","mon",348,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.499478
"15",49,"blue-collar","married","unknown","no","no","no","telephone","may","mon",73,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.368456
"16",54,"blue-collar","divorced","basic.4y","no","no","no","telephone","may","mon",208,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.568844
"17",55,"unknown","married","basic.4y","unknown","yes","no","telephone","may","mon",336,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.3371
"18",34,"services","married","high.school","no","no","no","telephone","may","mon",365,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.081405
