AGE,INCOME,MARITAL,MORTGAGE,LOANS,RISK
18,20521,married,y,2,good risk
18,21502,single,n,2,bad loss
18,24555,married,y,2,bad loss
19,17006,married,n,2,good risk
19,18298,married,n,2,good risk
19,18976,married,n,1,good risk
19,21652,single,n,1,good risk
19,22082,married,n,2,bad loss
19,22807,married,y,1,bad loss
19,22940,single,y,1,bad loss
19,23374,single,y,1,bad loss
19,23634,single,y,1,bad loss
19,23906,married,y,1,bad loss
20,16797,married,n,1,good risk
20,16828,married,n,1,good risk
20,18185,married,n,2,good risk
20,20326,single,y,1,good risk
20,20478,married,y,1,bad loss
20,20589,single,n,1,good risk
20,21524,married,y,2,bad loss
20,22238,married,y,1,bad loss
20,22310,married,n,1,bad loss
20,22672,married,y,2,bad loss
20,22787,single,n,1,good risk
20,23477,single,y,1,good risk
20,23786,single,n,1,good risk
20,23921,married,y,1,bad loss
20,24148,single,y,1,bad loss
20,24597,single,n,1,bad loss
21,17296,single,n,1,good risk
21,18265,married,n,1,good risk
21,19238,single,n,1,bad loss
21,19640,single,n,1,good risk
21,21421,single,n,1,good risk
21,22167,married,y,1,bad loss
21,22365,single,y,1,good risk
21,22818,single,n,1,good risk
21,23514,married,y,1,bad loss
21,23735,single,n,1,good risk
21,24504,single,y,1,good risk
21,24824,married,y,1,bad loss
22,17193,single,n,1,good risk
22,17548,single,n,1,good risk
22,17704,single,y,1,good risk
22,17917,single,y,1,good risk
22,18701,married,n,1,good risk
22,21834,single,n,1,bad loss
22,22225,married,y,1,bad loss
22,22387,single,n,1,good risk
22,22441,single,n,1,good risk
22,22583,single,n,1,good risk
22,22889,married,y,2,bad loss
22,22919,single,n,1,good risk
22,23386,married,y,2,bad loss
22,23464,married,y,2,bad loss
22,23771,married,y,2,bad loss
22,24943,single,y,1,good risk
23,17155,married,n,2,good risk
23,17824,married,y,2,good risk
23,20135,single,y,1,good risk
23,20158,married,y,2,good risk
23,20456,married,y,2,good risk
23,20901,single,n,1,good risk
23,22423,single,y,1,good risk
23,23299,married,y,1,bad loss
23,23586,single,y,1,good risk
23,24252,single,y,1,good risk
23,24290,married,y,1,bad loss
23,24377,single,n,1,good risk
23,24512,married,y,2,bad loss
24,18749,single,n,1,good risk
24,19511,married,y,1,good risk
24,20639,single,n,1,good risk
24,22483,married,y,1,bad loss
24,23133,married,y,1,bad loss
24,23993,single,y,1,good risk
24,24564,single,n,1,good risk
25,17886,single,y,1,good risk
25,18050,single,n,1,good risk
25,18126,single,y,1,good risk
25,20240,married,y,2,bad loss
25,21534,single,y,1,good risk
25,23067,single,y,1,good risk
25,23446,single,n,1,good risk
25,23721,single,y,1,good risk
25,23944,single,y,1,good risk
25,24099,single,y,1,good risk
25,24484,married,y,2,bad loss
26,17478,married,y,1,bad loss
26,20617,other,n,3,bad loss
26,26595,married,y,2,bad loss
27,18103,other,y,2,bad loss
27,18488,married,y,2,bad loss
27,21449,single,n,1,good risk
27,23751,single,y,1,good risk
27,24327,other,n,2,bad loss
27,27127,other,n,3,good risk
28,17055,other,y,3,bad loss
28,21175,married,y,1,good risk
28,23504,married,y,2,bad loss
29,26180,other,n,3,bad loss
30,24613,single,y,1,good risk
30,29933,single,y,0,good risk
30,36356,single,y,0,bad loss
30,41935,married,y,0,good risk
30,44756,married,y,1,good risk
31,17454,married,y,2,good risk
31,26120,other,y,2,good risk
31,28315,single,y,0,bad loss
31,34845,single,y,0,bad loss
31,36036,married,y,1,good risk
31,43972,married,y,1,bad loss
32,18532,married,y,2,good risk
32,21337,other,n,3,good risk
32,28942,married,y,2,bad loss
32,31295,single,y,0,good risk
32,31778,single,y,0,good risk
32,38537,married,y,0,good risk
32,40526,married,y,1,good risk
32,40636,married,y,1,good risk
32,42438,married,y,0,good risk
32,52973,married,y,0,bad loss
33,17511,other,n,3,bad loss
33,23167,single,n,1,good risk
33,23362,married,y,1,bad loss
33,23980,single,n,1,good risk
33,41483,married,y,0,good risk
33,43645,married,y,0,good risk
