Make,Year,Transmission,Mileage,FuelType,MPG,EngineSize,USDPrice
Ford,2003,Manual,177644,Petrol,41.5,1.6,560.25
Mercedes,2003,Manual,109090,Petrol,40,1.4,736.52
Ford,2005,Manual,108000,Petrol,36.2,1.8,763.98
Ford,2005,Manual,121000,Petrol,39.8,2,763.98
Ford,2005,Manual,97000,Diesel,48.7,2,763.98
Ford,2008,Manual,82020,Petrol,47.1,1.2,785.48
Ford,2005,Manual,71214,Petrol,42.1,1.6,899.79
Ford,2008,Manual,76000,Petrol,43.5,1.3,899.79
Ford,2008,Manual,77000,Petrol,43.5,1.3,962.04
Toyota,2003,Manual,167054,Diesel,48.7,2,962.1
Ford,2002,Manual,136784,Petrol,36.2,1.8,1012.98
Volkswagen,2001,Automatic,1,Petrol,29.7,2,1018.79
Toyota,2001,Automatic,76000,Petrol,35.3,1.6,1017.56
Toyota,2002,Manual,104000,Petrol,40.4,1.5,1075.29
Ford,2004,Manual,74000,Petrol,45.6,1.2,1075.23
Toyota,2003,Manual,107000,Petrol,50.4,1,1103.58
Ford,2004,Manual,111000,Petrol,45.6,1.2,1130.69
Ford,2006,Manual,94400,Petrol,43.5,1.3,1239.34
Hyundai,2002,Manual,94000,Petrol,30.4,2.4,1359.9
Bmw,1999,Automatic,82000,Petrol,31,2.8,1357.93
Toyota,2007,Automatic,120000,Petrol,36.7,1.8,1358.26
Ford,2007,Manual,110000,Diesel,47.9,2,1358.18
Toyota,2004,Manual,111000,Petrol,37.2,1.8,1414.85
Volkswagen,2006,Manual,82704,Petrol,46.3,1.2,1416.56
Volkswagen,2002,Manual,117000,Petrol,35.8,2,1444.89
Volkswagen,2004,Manual,170000,Diesel,52.3,2,1458.49
Ford,2008,Manual,137000,Diesel,54.3,1.8,1460.04
Ford,2008,Manual,59750,Petrol,43.5,1.3,1464.57
Hyundai,2000,Automatic,47000,Petrol,38.7,1.3,1467.56
Ford,2007,Manual,88000,Petrol,43.5,1.3,1465.7
Ford,2007,Manual,108475,Petrol,45.6,1.4,1465.7
Ford,2005,Manual,119000,Petrol,45.6,1.2,1465.7
Ford,2005,Manual,103000,Diesel,48.7,2,1465.7
Volkswagen,2001,Manual,110000,Petrol,49.6,1.6,1467.56
Hyundai,2007,Manual,90800,Petrol,51.4,1.1,1467.56
Toyota,2005,Manual,88836,Petrol,61.4,1,1465.79
Ford,2008,Manual,1,Diesel,47.9,2,1470.23
Volkswagen,2008,Manual,1,Diesel,53.3,1.9,1472.09
Ford,2006,Manual,97556,Diesel,62.8,1.4,1470.23
Toyota,2005,Manual,129000,Petrol,36.7,1.8,1471.45
Volkswagen,2003,Manual,87000,Petrol,40.9,1.6,1473.23
Mercedes,2010,Manual,116126,Diesel,54.3,2,1529.7
Hyundai,2008,Manual,138000,Diesel,57.6,1.6,1580.88
Ford,2007,Manual,63000,Petrol,47.1,1.2,1584.54
Bmw,2004,Manual,162000,Diesel,49.6,2,1635.18
Ford,2005,Manual,101000,Petrol,42.1,1.6,1640
Ford,2007,Manual,100100,Petrol,42.8,1.6,1641.14
Ford,2009,Manual,94028,Petrol,43.5,1.4,1641.14
Volkswagen,2007,Manual,107000,Petrol,47.1,1.2,1643.21
Ford,2005,Automatic,88746,Petrol,36.7,1.6,1669.43
Mercedes,2000,Automatic,87000,Petrol,27.2,3.2,1688.33
Mercedes,2004,Manual,119000,Petrol,34.5,1.8,1694
Ford,2007,Manual,127000,Petrol,37.2,1.8,1692.07
Toyota,2003,Manual,89000,Petrol,39.2,1.6,1692.16
Mercedes,2002,Automatic,13800,Diesel,39.8,2.7,1694
Volkswagen,2005,Manual,93839,Petrol,40.9,1.6,1694.21
Volkswagen,2005,Manual,96000,Petrol,47.1,1.2,1694.21
Hyundai,2008,Manual,94000,Petrol,56.5,1.2,1694.21
Ford,2006,Manual,105000,Diesel,58.9,1.6,1692.07
Volkswagen,2010,Manual,168000,Diesel,60.1,2,1694.21
Ford,2008,Manual,118000,Diesel,62.8,1.4,1692.07
Ford,2004,Automatic,59300,Petrol,42.8,1.4,1697.73
Bmw,2007,Manual,167000,Diesel,57.6,2,1697.42
Bmw,2000,Automatic,93000,Petrol,29.7,2.5,1754
Volkswagen,2004,Manual,150000,Petrol,41.5,1.4,1756.54
Ford,2008,Manual,77000,Petrol,43.5,1.3,1754.32
Toyota,2006,Manual,100418,Petrol,52.3,1,1754.42
Volkswagen,2009,Manual,70000,Petrol,42,1.4,1801.87
Bmw,2002,Automatic,115000,Petrol,28.5,2.2,1804.92
Ford,2007,Manual,115000,Petrol,45.6,1.4,1805.25
Toyota,2007,Manual,107000,Petrol,39.8,1.6,1809.88
Toyota,2002,Manual,140000,Petrol,32.1,2,1811.01
Mercedes,2001,Automatic,108800,Diesel,31.7,3.2,1920.62
Mercedes,2006,Automatic,153000,Petrol,33.6,1.8,1920.62
Ford,2003,Manual,89630,Petrol,40.9,1.6,1918.43
Ford,2007,Manual,103000,Petrol,45.6,1.4,1918.43
Ford,2008,Manual,116000,Petrol,47.1,1.2,1918.43
Ford,2009,Manual,139600,Petrol,48.7,1.6,1918.43
Hyundai,2008,Manual,67000,Petrol,51.4,1.1,1920.86
Hyundai,2009,Manual,84000,Petrol,56.5,1.2,1920.86
Bmw,2000,Manual,99209,Petrol,29.4,2,1922.61
Hyundai,2007,Automatic,53000,Petrol,46.3,1.1,1983.19
Ford,2006,Manual,91000,Petrol,40.4,1.6,2008.98
Mercedes,2004,Automatic,118000,Diesel,41.5,2.2,2016.94
Toyota,2007,Manual,70546,Petrol,39.8,1.6,2031.73
Ford,2010,Manual,83000,Petrol,43.5,1.4,2031.61
Ford,2008,Manual,63000,Petrol,45.6,1.3,2031.61
Ford,2008,Manual,63000,Petrol,45.6,1.3,2031.61
Ford,2007,Manual,135391,Diesel,46.3,2.2,2031.61
Volkswagen,2006,Manual,103875,Petrol,36.7,1.6,2038.72
Volkswagen,2008,Manual,88102,Petrol,46.3,1.2,2038.72
Ford,2008,Manual,103000,Petrol,47.1,1.2,2036.14
Volkswagen,2004,Automatic,116971,Petrol,35.8,1.6,2039.85
Mercedes,2007,Automatic,84000,Petrol,42.8,1.5,2039.6
Ford,2006,Manual,74055,Petrol,35.8,1.6,2093.86
Ford,2005,Manual,98213,Petrol,42.1,1.6,2133.48
Ford,2008,Manual,105000,Petrol,42.8,1.6,2144.79
Ford,2008,Manual,50990,Petrol,45.6,1.3,2144.79
Volkswagen,2006,Manual,126323,Diesel,46.3,2,2147.51
Ford,2009,Manual,50000,Petrol,42.2,1.6,2207.04
Ford,2009,Manual,85000,Petrol,55.4,1.2,2211.57
Toyota,2008,Automatic,124309,Petrol,48.7,1.3,2246.79
Toyota,2009,Manual,148371,Diesel,55.4,2,2246.79
Mercedes,1998,Automatic,99300,Petrol,32.1,2.3,2254.89
Mercedes,1998,Automatic,113557,Petrol,32.1,2.3,2254.89
Hyundai,2003,Automatic,51000,Petrol,37.2,1.6,2255.17
Toyota,2006,Manual,125000,Petrol,39.2,1.8,2252.44
Ford,2007,Manual,50000,Petrol,45.6,1.3,2252.32
Volkswagen,2009,Manual,65024,Petrol,48.7,1.2,2255.17
Hyundai,2010,Manual,85640,Petrol,56.5,1.2,2255.17
Toyota,2007,Manual,119213,Petrol,61.4,1,2253.58
Mercedes,2004,Semi-Auto,165000,Petrol,20,3.7,2260.55
Ford,2005,Manual,114000,Petrol,28,2.3,2257.98
Bmw,2004,Manual,114000,Petrol,32.1,2.2,2257.57
Ford,2007,Manual,1995,Petrol,39.8,1.8,2257.98
Ford,2009,Manual,79606,Petrol,39.8,1.8,2257.98
Ford,2000,Manual,43000,Petrol,41.5,1.3,2257.98
Ford,2008,Manual,141000,Petrol,42.2,1.6,2257.98
Toyota,1999,Automatic,89000,Petrol,42.9,1.3,2258.1
Mercedes,2005,Automatic,105000,Diesel,43.5,2.1,2260.55
Ford,2005,Manual,40000,Petrol,44.1,1.6,2257.98
Ford,2008,Manual,130000,Diesel,47.9,2,2257.98
Hyundai,2007,Manual,57000,Petrol,51.4,1.1,2260.83
Hyundai,2010,Manual,78100,Petrol,54.3,1.2,2260.83
Hyundai,2009,Manual,55000,Petrol,56.5,1.2,2260.83
Toyota,2009,Manual,79744,Petrol,56.5,1,2258.1
Toyota,2007,Manual,75900,Petrol,61.4,1,2258.1
Ford,2005,Manual,63000,Petrol,35.3,1.6,2262.5
Volkswagen,2000,Manual,80670,Petrol,35.8,2,2265.37
Ford,2008,Manual,97000,Petrol,39.8,1.8,2262.5
Ford,2009,Manual,109000,Petrol,40.4,1.8,2262.5
Volkswagen,2005,Manual,85160,Petrol,41.5,1.6,2265.37
Toyota,2002,Automatic,71788,Petrol,42.2,1.3,2262.63
Ford,2008,Manual,101000,Petrol,42.2,1.6,2262.5
Ford,2009,Manual,113492,Petrol,42.2,1.6,2262.5
Ford,2008,Manual,90000,Petrol,45.6,1.4,2262.5
Hyundai,2011,Manual,92000,Petrol,61.4,1.2,2265.37
Hyundai,2009,Manual,94000,Petrol,46.3,1.4,2266.5
Toyota,2004,Manual,96000,Petrol,36.7,1.8,2371.29
Ford,2005,Manual,31000,Petrol,41.5,1.4,2371.16
Ford,2007,Manual,79000,Petrol,41.5,1.2,2376.82
Mercedes,2002,Automatic,52700,Petrol,31.4,2,2424.85
Ford,2008,Manual,95000,Petrol,45.6,1.4,2461.7
Toyota,2003,Automatic,102000,Petrol,34.5,1.8,2484.48
Ford,2002,Manual,108000,Petrol,38.2,1.7,2484.34
Hyundai,2007,Manual,81400,Petrol,51.4,1.1,2487.48
Ford,2006,Manual,89000,Diesel,58.9,1.6,2484.34
Ford,2008,Manual,54000,Petrol,47.1,1.2,2546.59
Ford,2008,Manual,61000,Petrol,47.1,1.2,2546.59
Volkswagen,2007,Manual,113000,Diesel,47.1,2,2549.81
Toyota,2006,Manual,87743,Diesel,49.6,2,2546.73
Volkswagen,2009,Manual,193000,Diesel,52.3,2,2549.81
Hyundai,2009,Manual,116000,Diesel,60.1,1.6,2549.81
Ford,2009,Manual,100000,Diesel,67.3,1.6,2546.59
Ford,2006,Manual,45000,Petrol,47.1,1.2,2574.88
Ford,2009,Manual,89000,Petrol,40.9,1.6,2580.54
Volkswagen,2007,Manual,89000,Petrol,36.7,1.6,2600.81
Ford,2005,Manual,87530,Petrol,39.8,2,2597.52
Ford,2004,Manual,88936,Petrol,44.1,1.4,2597.52
Volkswagen,2007,Manual,74000,Petrol,46.3,1.2,2600.81
Volkswagen,2008,Manual,111000,Diesel,48.7,2,2600.81
Ford,2008,Manual,81000,Diesel,54.3,1.8,2597.52
Toyota,2007,Manual,69492,Petrol,61.4,1,2597.67
Ford,2007,Manual,62233,Petrol,42.8,1.6,2602.05
Volkswagen,2008,Manual,112304,Petrol,34.5,1.6,2606.48
Toyota,2009,Manual,131797,Diesel,51.4,2,2603.33
Bmw,2002,Manual,99000,Petrol,30.1,2.2,2659.29
Volkswagen,2008,Manual,103000,Petrol,43.5,1.4,2663.14
Ford,2008,Manual,59500,Petrol,47.1,1.2,2659.77
Ford,2009,Manual,92000,Petrol,55.4,1.2,2659.77
Bmw,2007,Manual,94000,Petrol,38.7,2,2687.58
Ford,2008,Manual,89000,Petrol,42.2,1.6,2688.07
Volkswagen,2007,Manual,124000,Petrol,37.7,1.4,2708.47
Toyota,2005,Manual,113000,Petrol,32.1,2,2709.72
Toyota,2003,Automatic,104000,Petrol,34.5,1.8,2710.86
Volkswagen,2007,Manual,103500,Petrol,36.7,1.6,2714.13
Hyundai,2003,Automatic,59000,Petrol,37.2,1.3,2714.13
Volkswagen,2006,Manual,105000,Diesel,46.3,2,2714.13
Ford,2006,Manual,63100,Petrol,47.1,1.2,2710.7
Ford,2006,Manual,73370,Petrol,47.1,1.2,2710.7
Toyota,2006,Manual,99000,Petrol,47.1,1.3,2710.86
Toyota,2011,Manual,115000,Petrol,54.3,1.3,2710.86
Ford,2009,Manual,102000,Diesel,58.9,1.6,2710.7
Toyota,2011,Manual,76552,Petrol,61.4,1,2710.86
Ford,2010,Manual,77000,Diesel,62.8,1.4,2710.7
Ford,2005,Manual,64000,Diesel,64.2,1.4,2710.7
Ford,2009,Manual,92000,Petrol,42.2,1.6,2716.36
Ford,2007,Manual,144000,Diesel,44.1,2,2716.36
Bmw,2010,Manual,117454,Diesel,62.8,2,2772.45
Toyota,2013,Manual,66000,Petrol,58.9,1.3,2795.75
Mercedes,2007,Automatic,81000,Diesel,49.6,2,2807.85
Ford,2008,Manual,82000,Petrol,38.7,2,2805.78
Hyundai,2011,Manual,94138,Petrol,61.4,1.2,2819.53
Volkswagen,2001,Manual,47729,Petrol,32.5,2,2821.79
Mercedes,2005,Automatic,101980,Diesel,47.9,2,2821.44
Toyota,2006,Manual,62000,Diesel,62.8,1.4,2818.39
Ford,2009,Manual,86022,Petrol,43.5,1.4,2819.36
Ford,2007,Manual,62596,Petrol,47.1,1.2,2819.36
Mercedes,2004,Automatic,104000,Petrol,31.7,1.8,2827.11
Hyundai,2007,Manual,90631,Petrol,35.3,2,2827.46
Ford,2006,Automatic,70730,Petrol,36.7,1.6,2823.88
Ford,2005,Automatic,87908,Petrol,36.7,1.6,2823.88
Ford,2008,Manual,91000,Petrol,39.8,1.8,2823.88
Ford,2007,Manual,96000,Petrol,39.8,1.8,2823.88
Ford,2007,Manual,78580,Petrol,42.2,1.4,2823.88
Ford,2009,Manual,107000,Petrol,42.2,1.6,2823.88
Ford,2006,Manual,69255,Petrol,43.5,1.4,2823.88
Volkswagen,2008,Manual,97000,Petrol,43.5,1.4,2827.46
Ford,2007,Manual,133694,Diesel,43.5,2,2823.88
Toyota,2004,Automatic,100000,Petrol,44.8,1.3,2824.04
Volkswagen,2007,Manual,99000,Diesel,45.6,2,2827.46
Hyundai,2009,Manual,125968,Petrol,46.3,1.4,2827.46
Toyota,2008,Manual,120000,Petrol,47.1,1.3,2824.04
Volkswagen,2009,Manual,41637,Petrol,48.7,1.2,2827.46
Ford,2010,Manual,88642,Diesel,48.7,1.8,2823.88
Bmw,2004,Manual,112000,Diesel,49.6,2,2823.37
Toyota,2005,Manual,87263,Petrol,50.4,1.3,2824.04
Toyota,2010,Manual,80269,Petrol,55.4,1.3,2824.04
Hyundai,2009,Manual,83677,Petrol,56.5,1.2,2827.46
Ford,2007,Manual,78000,Diesel,58.9,1.6,2823.88
Toyota,2005,Manual,88150,Diesel,58.9,1.4,2824.04
Hyundai,2011,Manual,78000,Petrol,61.4,1.2,2827.46
Toyota,2008,Manual,99000,Petrol,61.4,1,2824.04
Ford,2008,Manual,89000,Diesel,62.8,1.6,2823.88
Ford,2010,Manual,93900,Diesel,62.8,1.6,2823.88
Ford,2010,Manual,96000,Diesel,62.8,1.4,2823.88
Hyundai,2010,Manual,99000,Diesel,62.8,1.6,2827.46
