"","Int.l.Plan","VMail.Plan","Day.Mins","CustServ.Calls","Churn."
"1","no","yes",265.1,1,"False."
"4","yes","no",299.4,2,"False."
"5","yes","no",166.7,3,"False."
"6","yes","no",223.4,0,"False."
"7","no","yes",218.2,3,"False."
"10","yes","yes",258.6,0,"False."
"12","no","no",187.7,0,"False."
"13","no","no",128.8,1,"False."
"14","no","no",156.6,3,"False."
"15","no","no",120.7,4,"False."
"18","no","no",190.7,3,"False."
"20","no","no",224.4,1,"False."
"21","no","no",155.1,0,"False."
"22","no","no",62.4,5,"True."
"23","no","no",183,0,"False."
"24","no","no",110.4,2,"False."
"25","no","no",81.1,0,"False."
"26","no","no",124.3,3,"False."
"27","no","yes",213,0,"False."
"28","no","no",134.3,3,"False."
"30","no","no",119.3,1,"False."
"31","no","no",84.8,2,"False."
"32","no","no",226.1,1,"False."
"33","no","no",212,3,"False."
"35","no","yes",176.8,0,"False."
"36","no","yes",220,3,"False."
"37","no","yes",146.3,0,"False."
"38","no","no",130.8,1,"False."
"39","yes","yes",203.9,3,"False."
"42","yes","yes",173.1,0,"True."
"43","no","no",124.8,2,"False."
"44","no","no",85.8,3,"False."
"45","no","no",154,1,"False."
"46","no","yes",120.9,2,"False."
"47","no","no",211.3,3,"False."
"48","no","no",187,2,"False."
"50","no","yes",133.2,1,"False."
"53","no","no",186.1,2,"False."
"54","no","no",160.2,2,"False."
"55","no","no",151,5,"True."
"56","no","no",175.5,1,"False."
"58","no","yes",198.4,3,"True."
"60","no","no",229.3,1,"False."
"63","no","yes",193.7,2,"False."
"64","no","yes",180.7,3,"False."
"65","no","no",131.2,2,"False."
"66","no","yes",148.1,2,"False."
"67","yes","no",251.5,0,"False."
"69","no","no",211.6,1,"False."
"70","no","no",178.9,4,"True."
"72","no","yes",224.9,0,"False."
"73","no","no",248.6,3,"False."
"74","no","no",203.4,1,"False."
"76","no","no",157.1,1,"False."
"78","no","no",61.6,4,"True."
"81","no","no",201.1,1,"False."
"82","yes","no",215.4,3,"False."
"86","no","yes",179.3,0,"False."
"87","no","no",157.9,4,"True."
"88","no","no",214.3,1,"False."
"89","no","yes",154.1,2,"False."
"90","no","no",237.9,1,"True."
"91","no","no",143.9,1,"False."
"92","no","no",203.4,0,"True."
"93","no","no",124.3,1,"False."
"95","no","no",179.1,3,"False."
"96","no","no",278.4,1,"False."
"97","no","no",160.1,0,"False."
"98","no","no",198.2,4,"False."
"99","no","no",212.1,1,"True."
"100","no","no",251.8,2,"True."
"101","no","yes",161.2,4,"False."
"102","no","no",178.3,0,"False."
"103","no","no",151.7,0,"False."
"104","no","no",135,1,"False."
"105","no","no",170.5,1,"False."
"106","no","no",238.1,4,"False."
"107","no","yes",281.4,2,"False."
"108","no","yes",117.9,1,"False."
"109","no","yes",148.6,1,"False."
"110","no","no",229.8,3,"False."
"112","no","no",185,2,"False."
"114","no","no",126.7,1,"False."
"115","no","no",58.9,1,"False."
"116","yes","yes",196.8,0,"True."
"122","no","yes",213.8,0,"False."
"123","no","no",190.7,3,"False."
"124","no","no",170.9,1,"False."
"125","no","no",154.2,2,"False."
